,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Balcony,State of the property,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Number of showers,Number of facades,Surface terrace,Security door,Access for disabled,Sewer Connection,Surface garden,Garage,Brussels,Walloon Brabant,Flemish Brabant,Antwerp,Limburg,Liege,Namur,Hainaut,Luxembourg,West Flanders,East Flanders,Orientation South,Type property
202,760000,3,197,2,2,3,0,2,20,0,60,1,16,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
203,434000,3,153,1,2,1,0,3,21,0,45,0,16,1,2,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,429000,3,147,1,2,1,0,3,20,0,44,0,16,1,2,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
205,414000,3,145,1,2,1,0,3,20,0,43,0,15,1,2,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
206,480000,2,158,2,1,1,0,2,18,0,45,0,8,1,2,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,349000,2,85,2,1,1,0,2,17,0,25,0,9,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
208,269000,2,80,1,1,1,0,1,11,0,24,0,8,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,765000,3,197,1,2,3,0,2,20,0,62,1,21,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,685000,4,160,1,2,2,0,1,15,0,60,0,17,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,990000,3,215,2,2,3,0,3,20,0,100,1,23,1,2,25,1,1,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213,815000,3,210,1,1,3,0,0,29,0,80,0,22,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,420000,2,98,1,1,1,0,1,14,0,29,0,10,1,2,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
215,420000,2,88,1,1,1,0,1,12,0,26,0,9,1,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
217,385000,1,65,2,1,1,0,1,9,0,20,0,7,1,2,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218,345000,2,106,1,1,1,0,1,15,0,32,0,11,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,365000,2,112,0,1,1,0,1,16,0,33,0,12,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,365000,1,73,2,1,1,0,3,21,0,35,1,7,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,499000,2,110,1,1,1,0,1,15,0,33,0,11,2,2,20,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,399000,2,130,0,1,1,0,1,18,0,39,0,14,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
223,690000,2,170,1,1,3,0,3,24,0,50,0,18,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,345000,2,115,1,1,1,0,1,16,0,34,0,12,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,330000,6,160,1,3,3,0,1,10,0,35,1,17,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
226,469000,6,220,1,1,1,0,1,30,0,30,0,23,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
228,380000,5,140,1,2,2,0,2,15,0,30,1,8,2,2,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
229,569000,3,123,1,1,2,0,1,20,0,30,1,10,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
231,370000,5,200,2,2,1,0,1,11,0,40,1,21,1,2,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
233,380000,4,225,2,1,1,0,0,31,0,30,1,24,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
234,389000,5,160,1,1,1,0,0,22,0,47,0,17,1,2,0,0,0,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1
235,695000,3,180,2,2,2,0,1,20,0,45,1,14,1,2,0,0,0,1,43,0,1,0,0,0,0,0,0,0,0,0,0,1,1
236,850000,5,283,2,2,3,0,1,24,0,32,1,15,2,2,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
238,500000,4,200,2,2,1,0,1,11,0,18,0,21,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
240,945000,4,263,2,2,3,0,1,25,0,18,1,18,2,2,6,0,0,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
241,499000,6,220,1,1,2,0,0,30,0,35,0,23,1,2,0,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0,0,1,1
244,550000,5,180,2,1,3,0,1,25,0,50,0,19,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
245,430000,4,195,1,1,1,0,1,27,0,58,1,21,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
246,470000,2,100,1,2,2,0,1,16,0,40,1,10,1,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
